id,logFC,AveExpr,t,P.Value,adj.P.Val,B,logFC_ratio,logFC_max_min,logFC_z_score
101928464,0.140754661,1.755546394,0.63666537,0.524679636,0.6742433659999999,-6.809361475,0.016989890189021903,0.016989890189021722,-0.6349636257261726
50838,0.117236052,-4.175756013,0.636612635,0.524713962,0.6742537679999999,-6.809394827,0.014151059975729413,0.014151059975729229,-0.6661883192692267
104355286,0.04385117,-4.543760581,0.636516635,0.524776451,0.6743003590000001,-6.809455532,0.005293086265613127,0.005293086265612942,-0.7636184203072254
105370424,0.072450499,-4.524710211,0.63641697,0.52484133,0.674350014,-6.809518545,0.008745188354010112,0.008745188354009928,-0.7256482629921402
147081,0.115132081,3.7782623889999996,0.636252487,0.524948413,0.674453889,-6.8096225189999995,0.013897098678839311,0.013897098678839127,-0.6689816753600769
23409,0.146783876,-0.462011151,0.63611451,0.525038248,0.674535595,-6.8097097170000005,0.017717650819101528,0.017717650819101347,-0.6269588840052577
23436,0.090323752,-4.349726975,0.636035574,0.525089646,0.674567912,-6.809759593,0.010902591907350389,0.010902591907350205,-0.7019186773035277
7329,0.070686511,6.898791342000001,0.635961649,0.525137784,0.6745960390000001,-6.809806299,0.008532264943859221,0.008532264943859037,-0.727990237583989
100507341,0.121944828,-3.9977004469999997,0.635911235,0.525170613,0.674604498,-6.809838147000001,0.014719436089147794,0.014719436089147612,-0.6599366703063613
101929247,-0.094666675,-4.431294563,-0.63564715,0.525342601,0.674774175,-6.810004935,0.011426807477514548,0.011426807477514364,-0.696152756378694
10073,0.072705598,3.901155749,0.635627797,0.525355205,0.674774175,-6.810017155,0.008775980257926738,0.008775980257926553,-0.725309578501993
9084,0.015457364,-4.606935637,0.6351753370000001,0.525649944,0.675119008,-6.8103027460000005,0.001865791975242229,0.0018657919752420437,-0.8013157131560896
122416,0.121408406,4.731028736,0.634963855,0.5257877360000001,0.675260017,-6.810436162999999,0.014654686894980963,0.01465468689498078,-0.6606488558169819
403284,-0.016004827,-4.606135773,-0.6349261970000001,0.525812274,0.675260017,-6.810459916,0.0019318738810666658,0.0019318738810664802,-0.800588868962151
2018,-0.463284615,0.58390864,-0.634350949,0.5261871810000001,0.6757077229999999,-6.8108225760000005,0.055921094755883714,0.05592109475588354,-0.20675382079658083
105373979,0.014166307,-4.608170043,0.634204813,0.526282444,0.675796295,-6.810914653999999,0.001709954033522004,0.0017099540335218184,-0.8030297966366056
100873937,0.083030833,-4.324176036,0.634067023,0.526372274,0.6758778809999999,-6.811001452999999,0.010022294998621865,0.010022294998621681,-0.7116011870475911
728712,0.018104158000000002,-4.604404983999999,0.6338470820000001,0.526515679,0.6760282479999999,-6.811139965,0.0021852751034987213,0.002185275103498536,-0.7978016732091865
22795,-0.24830587899999998,3.014910457,-0.633297453,0.526874132,0.676442248,-6.811485892,0.029971935476428447,0.02997193547642827,-0.492172280275759
1615,-0.083125552,6.328503961,-0.633271978,0.526890749,0.676442248,-6.811501917999999,0.010033728122025246,0.010033728122025062,-0.7114754325122057
56948,0.098806862,2.752244103,0.63302672,0.527050742,0.67661386,-6.8116561760000005,0.01192655165644455,0.011926551656444366,-0.6906559997343731
79065,0.082855242,6.1750711570000005,0.63287493,0.527149774,0.676707198,-6.8117516170000005,0.010001100163672986,0.010001100163672802,-0.7118343120238139
26211,0.016498233,-4.605940441,0.632751716,0.527230169,0.676776605,-6.811829072999999,0.001991430798749161,0.001991430798748976,-0.799933794032239
693157,0.057483720999999995,-4.492985055,0.63253979,0.527368463,0.676920321,-6.811962261000001,0.006938612906370272,0.006938612906370087,-0.7455190409100403
105379301,-0.054889058,-4.473098856,-0.632375431,0.527475729,0.677024198,-6.812065525,0.006625422287073351,0.006625422287073166,-0.748963868664203
9248,0.143288757,-4.273652501,0.632032199,0.5276997689999999,0.67727794,-6.812281082999999,0.017295770026055788,0.017295770026055608,-0.6315992102963026
645051,0.034721061,-4.588517229,0.631902367,0.527784528,0.677320496,-6.812362591,0.0041910300479238195,0.004191030047923635,-0.7757400919392373
3158,-0.701139505,3.6856477739999995,-0.631886113,0.52779514,0.677320496,-6.812372793,0.08463153626674697,0.08463153626674678,0.10903637104541312
338645,-0.414202381,-0.199493877,-0.631860325,0.527811977,0.677320496,-6.812388981000001,0.04999658923707978,0.0499965892370796,-0.2719182918355981
101954276,0.106328793,-3.98881869,0.631755572,0.52788037,0.677362494,-6.812454727,0.012834491619437319,0.012834491619437137,-0.6806694401412017
64430,-0.085992594,4.868236971,-0.631729479,0.527897407,0.677362494,-6.812471102999999,0.010379796439772207,0.010379796439772023,-0.7076689783199078
10566,-0.173689628,-0.377541887,-0.631684485,0.527926785,0.677366378,-6.812499337999999,0.020965328506542775,0.020965328506542594,-0.5912372194822659
153642,-0.103972892,2.318494899,-0.631347227,0.5281470220000001,0.6776004090000001,-6.812710915,0.012550120935000752,0.01255012093500057,-0.6837972733707424
53343,-0.08822897199999999,4.796249205,-0.631317397,0.528166504,0.6776004090000001,-6.812729622999999,0.010649740016568886,0.010649740016568703,-0.70469983088026
389400,-0.050902234000000005,-4.491775195,-0.631284075,0.528188267,0.6776004090000001,-6.81275052,0.006144189896744501,0.006144189896744316,-0.7542570115371549
23451,0.074367749,8.041455039,0.631153757,0.5282733829999999,0.677675782,-6.812832236,0.008976611361486236,0.00897661136148605,-0.7231028087224842
6734,0.063956536,7.337425396,0.631022675,0.528359006,0.6777360720000001,-6.812914414,0.007719918585930352,0.007719918585930168,-0.7369253496447157
