Entrez.Gene,adj.P.Val,P.Value,logFC,ID,logFC_max_min
114042,0.447139,0.157,-0.2325125,8069200,0.035416265956211
114041,0.7172850000000001,0.447,0.2571075,8070411,0.03916329752489483
114038,0.702249,0.426,-0.1412025,8070681,0.02150524938631789
114036,0.749762,0.495,-0.14609,8068363,0.022249856696419223
114034,0.546147,0.244,0.5010074999999999,7901091,0.07632129710212546
114026,0.344499,0.0913,0.43405249999999995,8039625,0.06612074826369381
113878,0.970043,0.915,0.0183425,8133736,0.002787611714901097
113835,0.407532,0.13,-0.343395,8027323,0.05230913962624902
113829,0.633109,0.34,0.14765,8108558,0.022487521638364608
113828,0.5849310000000001,0.284,-0.164245,8073207,0.025015758632969537
113802,0.24869000000000002,0.0491,1.5594700000000001,7918223,0.23757734108537468
113791,0.913709,0.7859999999999999,-0.09411749999999999,8075483,0.014331881571254729
113763,0.809411,0.591,-0.0801575,8137219,0.01220508503948704
113746,0.784572,0.5489999999999999,-0.08819500000000001,7937263,0.013429592713131941
113730,0.447108,0.157,-0.2677175,8074106,0.040779723828766976
113691,0.8938659999999999,0.747,0.07520249999999999,8074695,0.011450194150166916
113675,0.251471,0.0501,0.2861625,7959002,0.04358980706862765
113655,0.836242,0.638,-0.08796,8148917,0.013393790622518371
113622,0.9205040000000001,0.802,-0.03197,7972902,0.004863752097183632
113612,0.078068,0.005229999999999999,-1.3373875,8096744,0.2037432228356398
113510,0.500084,0.2,0.33985,8101467,0.051769061280610304
113452,0.774231,0.5329999999999999,-0.30428,7914592,0.04634999590561197
113451,0.7601939999999999,0.509,0.1362825,7899851,0.020755690723259362
113444,0.6081989999999999,0.311,-0.13409749999999998,7914750,0.02042280745521406
113419,0.585468,0.285,0.22625,8052925,0.034462178328689856
113402,0.888288,0.735,0.044594999999999996,8130720,0.006787162284401904
113278,0.678057,0.396,-0.1548175,8064388,0.023579485402078427
113277,0.070235,0.004229999999999999,-1.987465,8019622,0.3027820890519873
113263,0.609318,0.313,-0.1760125,8131496,0.026808529276778726
113251,0.13994600000000001,0.0157,0.433645,7955361,0.06605866591507668
113235,0.420371,0.138,-0.204105,8013616,0.031088402598317685
113230,0.8196899999999999,0.609,0.07309249999999999,8026294,0.011128737081253604
113220,0.737558,0.47700000000000004,-0.10321500000000002,8163548,0.015717879525965088
113201,0.674566,0.392,0.22976,7983321,0.03499692444806697
113189,0.305106,0.0715,-0.2606175,7982745,0.03969804364427195
113179,0.675443,0.39299999999999996,-0.11244749999999999,8024356,0.017124444639113022
113177,0.64172,0.35100000000000003,-0.134975,8024373,0.020556493985058343
113174,0.451292,0.16,0.5148,7946957,0.0784225751224984
113146,0.436583,0.149,-0.74878,7981514,0.11406926942787117
113130,0.604585,0.307,0.528375,7949364,0.08049071716538853
113115,0.486941,0.18899999999999997,0.36213,8129763,0.05516340416942006
113091,0.8176760000000001,0.606,-0.0992975,8038362,0.01512105105797082
113026,0.47944200000000003,0.183,0.2423775,8016168,0.03691919201537205
113000,0.179594,0.026,0.3362075,7998367,0.05121412887610001
112950,0.18623199999999998,0.0277,0.40701750000000003,7915516,0.062001984349915926
112942,0.279246,0.0602,0.42197250000000003,8042066,0.06428036845683467
112939,0.731563,0.46799999999999997,0.13879249999999999,8026155,0.021138087520876616
112937,0.8226370000000001,0.615,-0.08772250000000001,7945296,0.013357607658600406
112936,0.493861,0.195,-0.29452,7945275,0.04486306652523571
112885,0.8718020000000001,0.701,-0.063965,8076677,0.009738168646890455
112869,0.1057,0.0092,0.9987174999999999,7994362,0.15214707803522698
112858,0.357856,0.0988,0.22483000000000003,8066776,0.034245842291790854
112849,0.476108,0.18100000000000002,-0.24735500000000002,7979437,0.03767751076443177
112840,0.37711100000000003,0.111,0.55962,7979565,0.08525087172377545
112817,0.945816,0.856,0.0788275,7929664,0.01200246044154642
112812,0.43884300000000004,0.15,-0.41226499999999994,8033960,0.06280143741585079
112802,0.8473620000000001,0.657,0.090945,7963438,0.013848553347971563
112770,0.007885,5.94e-05,-2.544465,7920971,0.3876406612722311
112755,0.634397,0.342,-0.1944975,8000963,0.029624706489509798
112752,0.655261,0.368,-0.19045499999999999,7975851,0.02900883435629555
